#
# WHOIS Servers List
# Last updated on 21/06/2019
#

circle whois.nic.circle
cisco whois.nic.cisco
citadel whois.nic.citadel
citi whois.nic.citi
citic whois.nic.citic
city whois.donuts.co
city whois.donuts.co
cityeats whois.nic.cityeats
ck whois.nic.ck
ck whois.nic.ck
cl whois.nic.cl
cl whois.nic.cl
claims whois.donuts.co
claims whois.donuts.co
cleaning whois.donuts.co
cleaning whois.donuts.co
click whois.uniregistry.net
click whois.nic.click
clinic whois.donuts.co
clinic whois.donuts.co
clinique whois.nic.clinique
clothing whois.donuts.co
clothing whois.donuts.co
cloud whois.nic.cloud
cloud whois.nic.cloud
club whois.nic.club
club whois.nic.club
clubmed whois.nic.clubmed
cm whois.netcom.cm
cn whois.cnnic.cn
cn whois.cnnic.net.cn
cn.com whois.centralnic.com
cn.com whois.centralnic.com
cng.br whois.nic.br
cnt.br whois.nic.br
co whois.nic.co
co whois.nic.co
co.ac whois.nic.ac
co.at whois.nic.at
co.il whois.isoc.org.il
co.in whois.inregistry.in
co.jp whois.nic.ad.jp
co.ke whois.kenic.or.ke
co.kr whois.nic.or.kr
co.nl whois.co.nl
co.nz whois.srs.net.nz
co.rs whois.rnids.rs
co.th whois.thnic.net
co.uk whois.nic.uk
co.ve whois.nic.ve
coach whois.donuts.co
coach whois.donuts.co
codes whois.donuts.co
codes whois.donuts.co
coffee whois.donuts.co
coffee whois.donuts.co
college whois.nic.college
college whois.nic.college
cologne whois-fe1.pdt.cologne.tango.knipp.de
cologne whois-fe1.pdt.cologne.tango.knipp.de
com whois.verisign-grs.com
com whois.verisign-grs.com
com.au whois.aunic.net
com.br whois.nic.br
com.cn whois.cnnic.net.cn
com.co whois.nic.co
com.de whois.centralnic.com
com.ec whois.lac.net
com.fr whois.nic.fr
com.gr http://grwhois.ics.forth.gr:800/plainwhois/plainWhois?domainName=
com.gt http://www.gt/cgi-bin/whois.cgi?domain=
com.hk whois.hkdnr.net.hk
com.mm whois.nic.mm
com.mx whois.nic.mx
com.my whois.mynic.net.my
com.ph http://www2.dot.ph/WhoIs.asp?Domain=
com.pl whois.dns.pl
com.pt whois.dns.pt
com.ro whois.rotld.ro
com.ru whois.ripn.net
com.sg whois.nic.net.sg
com.tr whois.metu.edu.tr
com.tw whois.twnic.net
com.ua whois.net.ua
com.ve whois.nic.ve
comcast whois.nic.comcast
commbank whois.nic.commbank
community whois.donuts.co
community whois.donuts.co
company whois.donuts.co
company whois.donuts.co
compare whois.nic.compare
computer whois.donuts.co
computer whois.donuts.co
comsec whois.nic.comsec
condos whois.donuts.co
condos whois.donuts.co
construction whois.donuts.co
construction whois.donuts.co
consulting whois.unitedtld.com
consulting whois.donuts.co
contact whois.nic.contact
contractors whois.donuts.co
contractors whois.donuts.co
cooking whois-dub.mm-registry.com
cooking whois-dub.mm-registry.com
cookingchannel whois.nic.cookingchannel
cool whois.donuts.co
cool whois.donuts.co
coop whois.nic.coop
coop whois.nic.coop
corsica whois.nic.corsica
country whois-dub.mm-registry.com
country whois-dub.mm-registry.com
coupon whois.nic.coupon
coupons whois.donuts.co
coupons whois.donuts.co
courses whois.nic.courses
courses whois.aridnrs.net.au
cq.cn whois.cnnic.net.cn
credit whois.donuts.co
credit whois.donuts.co
creditcard whois.donuts.co
creditcard whois.donuts.co
creditunion whois.nic.creditunion
cricket whois.nic.cricket
cricket whois.nic.cricket
crown whois.nic.crown
crs whois.nic.crs
cruise whois.nic.cruise
cruises whois.donuts.co
cruises whois.donuts.co
csc whois.nic.csc
cuisinella whois.nic.cuisinella
cx whois.nic.cx
cx whois.nic.cx
cy whois.ripe.net
cymru whois.nic.cymru
cymru whois.nic.cymru
cyou whois.nic.cyou
cz whois.nic.cz
cz whois.nic.cz
dabur whois.nic.dabur
dad domain-registry-whois.l.google.com
dance whois.unitedtld.com
dance whois.unitedtld.com
data whois.nic.data
date whois.nic.date
date whois.nic.date
dating whois.donuts.co
dating whois.donuts.co
datsun whois.nic.gmo
day domain-registry-whois.l.google.com
dclk domain-registry-whois.l.google.com
dds whois.nic.dds
de whois.denic.de
de whois.denic.de
deal whois.nic.deal
dealer whois.nic.dealer
deals whois.donuts.co
deals whois.donuts.co
degree whois.donuts.co
degree whois.rightside.co
delivery whois.donuts.co
delivery whois.donuts.co
dell whois.nic.dell
deloitte whois.nic.deloitte
delta whois.nic.delta
democrat whois.unitedtld.com
democrat whois.unitedtld.com
dental whois.donuts.co
dental whois.donuts.co
dentist whois.donuts.co
dentist whois.rightside.co
desi whois.nic.desi
desi whois.ksregistry.net
design whois.nic.design
design whois.nic.design
dev whois.nic.dev
dev domain-registry-whois.l.google.com
dhl whois.nic.dhl
diamonds whois.donuts.co
diamonds whois.donuts.co
diet whois.uniregistry.net
diet whois.nic.diet
digital whois.donuts.co
digital whois.donuts.co
direct whois.donuts.co
direct whois.donuts.co
directory whois.donuts.co
directory whois.donuts.co
discount whois.donuts.co
discount whois.donuts.co
discover whois.nic.discover
dish whois.nic.dish
diy whois.nic.diy
dk whois.dk-hostmaster.dk
dk whois.dk-hostmaster.dk
dm whois.nic.cx
dm whois.nic.dm
dn.ua whois.net.ua
dnp whois.nic.dnp
docs domain-registry-whois.l.google.com
doctor whois.donuts.co
doctor whois.donuts.co
dodge whois.nic.dodge
dog whois.donuts.co
dog whois.donuts.co
domains whois.donuts.co
domains whois.donuts.co
doosan whois.nic.doosan
dot whois.nic.dot
download whois.nic.download
download whois.nic.download
drive whois.nic.drive
dtv whois.nic.dtv
dubai whois.nic.dubai
duck whois.nic.duck
dunlop whois.nic.dunlop
duns whois.nic.duns
dupont whois.nic.dupont
durban durban-whois.registry.net.za
dvag whois.ksregistry.net
dvr whois.nic.dvr
dz whois.nic.dz
dz whois.nic.dz
earth whois.nic.earth
earth whois.nic.earth
eat domain-registry-whois.l.google.com
ec whois.nic.ec
ec whois.nic.ec
ecn.br whois.nic.br
eco whois.nic.eco
eco whois.nic.eco
edeka whois.nic.edeka
edu whois.educause.net
edu whois.educause.edu
edu.au whois.aunic.net
edu.cn whois.cnnic.net.cn
edu.gr http://grwhois.ics.forth.gr:800/plainwhois/plainWhois?domainName=
edu.gt http://www.gt/cgi-bin/whois.cgi?domain=
edu.hk whois.hkdnr.net.hk
edu.mm whois.nic.mm
edu.mx whois.nic.mx
edu.my whois.mynic.net.my
edu.pl whois.dns.pl
edu.pt whois.dns.pt
edu.rs whois.rnids.rs
edu.sg whois.nic.net.sg
edu.tr whois.metu.edu.tr
edu.za whois.co.za
education whois.donuts.co
education whois.donuts.co
ee whois.tld.ee
ee whois.tld.ee
eg whois.ripe.net
email whois.donuts.co
email whois.donuts.co
emerck whois.afilias-srs.net
energy whois.donuts.co
energy whois.donuts.co
eng.br whois.nic.br
engineer whois.rightside.co
engineer whois.donuts.co
engineering whois.donuts.co
engineering whois.donuts.co
enterprises whois.donuts.co
enterprises whois.donuts.co
epson whois.aridnrs.net.au
equipment whois.donuts.co
equipment whois.donuts.co
ericsson whois.nic.ericsson
ernet.in whois.inregistry.in
erni whois.nic.erni
es whois.nic.es
es whois.nic.es
esp.br whois.nic.br
esq domain-registry-whois.l.google.com
estate whois.donuts.co
estate whois.donuts.co
esurance whois.nic.esurance
etc.br whois.nic.br
eti.br whois.nic.br
etisalat whois.nic.etisalat
eu whois.eu
eu whois.eu
eu.com whois.centralnic.com
eu.lv whois.biz
eurovision whois.nic.eurovision
eus whois.nic.eus
events whois.donuts.co
events whois.donuts.co
everbank whois.nic.everbank
exchange whois.donuts.co
exchange whois.donuts.co
expert whois.donuts.co
expert whois.donuts.co
exposed whois.donuts.co
exposed whois.donuts.co
express whois.donuts.co
